Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 23-158741,Impound Abandoned Vehicle,06/18/2023 0820,06/18/23,606 Oak St SE,Closed - Cited
UM 23-158968,Theft / Trespass,06/18/2023 1429,06/18/23,333 East River Pkwy,Closed - Cited
UM 23-159075,Flee Officer on Foot / Warrant / Use of Force,06/18/2023 1659,06/18/23,551 Washington Ave SE,THOMAS
UM 23-159152,Recovered Vehicle,06/18/2023 1835,06/18/23,624 Erie St SE,THOMAS
UM 23-157473,Flee Officer on Foot / Reckless Driving,06/17/2023 0059,06/17/23,1123 4th St SE,CARLSON
UM 23-158000,Theft,06/17/2023 1200,06/17/23,312 Church St SE,Inactive
UM 23-158026,Narcotics Violation / Warrant,06/17/2023 1633,06/17/23,2301 University Ave SE,CARLSON
UM 23-158061,Miscellaneous,06/17/2023 1721,06/17/23,1266 Gibbs Ave,Closed
UM 23-158342,No Valid Drivers License,06/17/2023 2206,06/17/23,1600 Block 4th St SE,Closed - Cited
UM 23-158352,Warrant,06/17/2023 2212,06/17/23,University Ave SE / 13th Ave SE,Closed - Arrest
UM 23-156682,Bike Theft,06/14/2023 2315,06/16/23,210 Delaware St SE,Inactive
UM 23-156782,Bike Theft,06/16/2023 0800,06/16/23,2001 6th St SE,Inactive
UM 23-157258,Criminal Sexual Conduct - Rape,06/15/2023 1200,06/16/23,500 Harvard St SE,FARRAR
UM 23-157326,Failure to Obey Traffic Control,06/16/2023 2236,06/16/23,University Ave SE /14th Ave SE,Closed - Cited
UM 23-157335,Crisis Intervention,06/16/2023 2244,06/16/23,701 15th Ave SE,Closed
UM 23-154452,Theft of Motor Vehicle Parts,06/09/2023 0800,06/14/23,401 Oak St SE,Inactive
UM 23-154458,Auto Theft,06/13/2023 1730,06/14/23,1002 Essex St SE,THOMAS
UM 23-154760,Motor Vehicle Accident Damage Report,06/14/2023 1352,06/14/23,901 29th Ave SE,Closed
UM 23-154909,Trespass,06/14/2023 1641,06/14/23,401 Oak St SE,Closed - Cited
MP 23-146651,Hit and Run-Property Damage,6/6/23 5:55 PM,06/13/23,10th Ave SE & University Ave SE,MPD
MP 23-149164,Assault,6/8/23 10:00 PM,06/13/23,2450 Riverside Ave,MPD
MP 23-149184,Domestic Assault,6/8/23 11:32 PM,06/13/23,2450 Riverside Ave,MPD
MP 23-151100,Hit and Run-Property Damage,6/10/23 9:19 PM,06/13/23,Washington Ave SE & 3rd St S,MPD
MP 23-705972,Hit and Run-Unattended Vehicle,6/2/23 2:15 PM,06/13/23,614 Delaware St SE,MPD
MP 23-706016,Hit and Run-Property Damage,6/6/23 8:20 PM,06/13/23,Huron Blvd SE & Fulton St SE,MPD
MP 23-706023,Theft,6/6/23 9:40 PM,06/13/23,2450 Riverside Ave,MPD
UM 23-153470,Recovered Property,06/13/2023 0800,06/13/23,271 19th Ave S,Closed
UM 23-153531,Theft,07/01/2021 0000,06/13/23,1300 2nd St S,CARLSON
UM 23-153627,Auto Theft,06/13/2023 1143,06/13/23,2001 Bloomington Ave,HUCK
UM 23-154035,Robbery of Person / Trespass / Use of Force,06/13/2023 1855,06/13/23,300 Washington Ave SE,FARRAR
UM 23-154262,Obstruct Legal Process,06/13/2023 2258,06/13/23,2724 4th St SE,FARRAR
UM 23-154255,Driving After Recovation,06/13/2023 2250,06/13/23,University Ave SE / 15th Ave SE,Closed - Cited
UM 23-152354,Narcotics Violation,06/12/2023 0738,06/12/23,716 Washington Ave SE,Inactive
UM 23-152424,Bike Theft,05/05/2023 1200,06/12/23,2515 University Ave SE,Inactive
UM 23-152464,Trespass,06/12/2023 1009,06/12/23,301 19th Ave S,Closed
UM 23-152575,Crisis Internvetion,06/12/2023 1200,06/12/23,500 Harvard St SE,Closed
UM 23-152936,Warrant / Use of Force,06/12/2023 1721,06/12/23,275 Cedar Ave S,Closed - Arrest
UM 23-152985,Marijuana In Motor Vehicle,06/12/2023 1807,06/12/23,220 Delaware St SE,Closed - Cited
UM 23-153212,No Drivers Licences,06/12/2023 2225,06/12/23,Hennepin Ave E / 29 Ave SE,Closed - Cited
UM 23-151266,Health and Welfare Hold,06/11/2023 0018,06/11/23,220 Delaware St SE,Closed
UM 23-152065,Driving After Suspension,06/11/2023 2114,06/11/23,4th St SE / 16th Ave SE,Closed- Cited
UM 23-152075,Health and Welfare Hold / Crisis Intervention,06/11/2023 2124,06/11/23,401 Oak St SE,Closed
UM 23-150559,Miscellaneous,06/10/2023 0920,06/10/23,420 Washington Ave SE,Closed
UM 23-150693,Auto Theft,06/10/2023 1240,06/10/23,Como Ave SE / 29th Ave SE,HUCK
UM 23-150843,Driving After Revocation,06/10/2023 1642,06/10/23,14th Ave SE / University Ave SE,Closed- Cited
UM 23-150854,Driving After Revocation,06/10/2023 1653,06/10/23,University Ave SE / 13th Ave SE,Closed- Cited
UM 23-150892,Narcotics Violation / Trespass / Warrant,06/10/2023 1724,06/10/23,515 Delaware St SE,THOMAS
UM 23-151047,Warrant,06/10/2023 2015,06/10/23,615 Washington Ave SE,CARLSON
UM 23-151142,Warrant,06/10/2023 2209,06/10/23,University Ave SE / 23th Ave SE,Closed- Arrest
UM 23-149204,Driving After Revocation,06/09/2023 0002,06/09/23,4th St SE / 12th Ave SE,Closed - Cited
UM 23-149791,Suicide / Health and Welfare Hold / Crisis,06/09/2023 1415,06/09/23,2601 University Ave SE,CARLSON
,Intervention,,
UM 23-148661,Mysterious Disappearance,01/01/2023 0000,06/08/23,128 Pleasant St SE,Inactive
UM 23-148765,Damage to Property,06/08/2023 1647,06/08/23,2096 Roseland Ave W,Inactive
UM 23-148869,Theft from Motor Vehicle / Damage to Motor,06/08/2023 0800,06/08/23,1625 4th St SE,Inactive
,Vehicle,,
UM 23-149051,No Valid Drivers License,06/08/2023 2141,06/08/23,Church St SE / Washington Ave,Closed - Cited
,,SE,
UM 23-149068,Non-Vehicular Accident,06/08/2023 2105,06/08/23,300 Washington Ave SE,Closed
UM 23-149133,Traffic Law Enforcement / Driving After,06/08/2023 2236,06/08/23,16th Ave SE / University Ave SE,Closed - Cited
,Revocation / Warrant,,
UM 23-149167,No Valid Drivers License,06/08/2023 2305,06/08/23,University Ave SE / 18th Ave SE,Closed - Cited
UM 23-148883,Bike Theft,06/08/2023 0900,06/08/23,Church St SE / Delaware St SE,Inactive
UM 23-147267,Theft,06/07/2023 1000,06/07/23,222 Pleasant St SE,Inactive
UM 23-147617,Bike Theft,06/07/2023 1535,06/07/23,229 19th Ave S,Inactive
UM 23-147693,Bike Theft,06/07/2023 1648,06/07/23,321 Church St SE,Active
UM 23-147872,Health Welfare Hold / Crisis Intervention,06/07/2023 1853,06/07/23,909 Fulton St SE,Closed
UM 23-147926,Narcotics Violation,06/07/2023 1943,06/07/23,Main St SE / 6th Ave SE,THOMAS
UM 23-148042,Warrant,06/07/2023 2120,06/07/23,275 Cedar Ave S,Closed - Arrest
UM 23-148097,Reckless Driving,06/07/2023 2259,06/07/23,University Ave SE / 15th Ave SE,Closed - Cited
UM 23-145896,Bike Theft,06/05/2023 2200,06/06/23,1166 Fifeld St,THOMAS
UM 23-146228,Bike Theft,06/05/2023 0930,06/06/23,312 Church St SE,Closed
UM 23-146490,Disorderly Conduct,06/06/2023 1520,06/06/23,615 Washington Ave SE,CARLSON
UM 23-146777,Bike Theft,06/06/2023 1820,06/06/23,123 Harvard St SE,THOMAS
UM 23-146850,Reckless Driving,06/06/2023 2118,06/06/23,Oak St SE / Washington Ave SE,Closed - Cited
CL23-060,Stalking,Spring 2023,NR,NR,Minneapolis Campus,CSA Report
CL23-062,Stalking,Spring 2023,NR,NR,Carlson School of Management,CSA Report
CL23-064,Stalking/ Dating Violence,Fall 2022 - Spring 2023,NR,Minneapolis Campus,CSA Report
,NR,,
CL23-065,Stalking,Spring 2023,NR,NR,Minneapolis Campus,CSA Report
CL23-075,Rape,2/18/2023 NR,NR,Territorial Hall,CSA Report
CL23-076,Stalking,Spring 2023,NR,NR,Minneapolis Campus,CSA Report
CL23-077,Fondling,3/9/2023 NR,NR,UMN Study Abroad: Ireland,CSA Report
CL23-061,Fondling,2/6/2023 2200,06/05/23,Comstock Hall,CSA Report
CL23-063,Rape/ Domestic Violence,Fall 2021,NR,06/05/23,Sanford Hall,CSA Report
UM 23-144891,Warrant,06/05/2023 0151,06/05/23,2407 University Ave SE,Closed - Arrest
UM 23-144923,Use of Force,06/05/2023 0208,06/05/23,615 Washington Ave SE,Closed
UM 23-145011,Trespass,06/05/2023 0748,06/05/23,206 Church St SE,Closed - Cited
UM 23-145039,Recovered Property,06/05/2023 0821,06/05/23,385 River Pkwy E,Closed
UM 23-145844,Flee in Motor Vehicle,06/05/2023 2202,06/05/23,8th St SE / 15th Ave SE,Inactive
UM 23-145877,Miscellaneous,06/05/2023 2240,06/05/23,7th St SE / Central Ave NE,Closed
UM 23-143330,Trespass,06/03/2023 1753,06/04/23,390 29th Ave SE,Closed
UM 23-143868,Flee Officer On Foot,06/04/2023 0050,06/04/23,13th Ave SE / 5th St SE,Closed - Arrest
UM 23-143896,Trespass,06/04/2023 0131,06/04/23,1936 Commonwealth Ave,Closed
,False Info to Police / Narcotics Violation / Drug,,,THOMAS
,Paraphernalia / Flee Officer on Foot / Obstruct,,,
UM 23-144041,06/04/2023 0505,06/04/23,1 Washington Ave SE,
,Legal Process / Use of Force / Warrant,,,
UM 23-144151,Health Welfare Hold,06/04/2023 0945,06/04/23,2 6th Ave SE,Closed
UM 23-144558,Miscellaneous,06/04/2023 1845,06/04/23,1365 Gortner Ave,THOMAS
UM 23-144561,Damage to Motor Vehicle,06/04/2023 1455,06/04/23,401 Oak St SE,Closed
,Hit and Run Property Damage / Driving After,,,Closed - Cited
UM 23-142718,Revocation / Motor,06/02/2023 2253,06/03/23,222 Pleasant St SE,
,Vehicle Accident Damage Report,,,
UM 23-142955,Damage to Property-Graffitti / Narcotics,06/03/2023 0453,06/03/23,1300 2nd St S,FARRAR
,Violation,,,
UM 23-143287,Driving After Suspension / No Proof On,06/03/2023 1516,06/03/23,Beacon St SE / Union St SE,Closed - Cited
,Insurance,,,
UM 23-143499,Damage to Motor Vehicle,06/03/2023 1600,06/03/23,1625 4th St SE,Closed
UM 23-143820,Driving while Intoxicated,06/03/2023 2354,06/03/23,Pleasant St SE / Pillsbury Dr SE,CARLSON
UM 23-141800,Trespass,06/02/2023 0413,06/02/23,401 Oak St SE,Closed
UM 23-142296,Trespass,06/02/2023 1604,06/02/23,501 Washington Ave SE,Closed
UM 23-142319,Miscellaneous,06/02/2023 1634,06/02/23,301 19th Ave S,Closed
UM 23-142484,Trespass,06/02/2023 1847,06/02/23,615 Washington Ave SE,Closed
UM 23-142489,Theft of Motor Vehicle Parts,05/24/2023 1700,06/02/23,1024 27th Ave SE,HUCK
UM 23-142722,No Valid Drivers License,06/02/2023 2300,06/02/23,4th St SE / 13th Ave SE,Closed - Cited
UM 23-142781,Miscellaneous,06/02/2023 2357,06/02/23,505 Washington Ave SE,Closed
UM 23-152723,Miscellaneous,06/02/2023 1607,06/02/23,309 19th Ave S,Closed
UM 23-140571,No Valid Drivers License,06/01/2023 0031,06/01/23,319 University Ave SE,Closed - Cited
UM 23-140617,Driving After Suspension / Traffic Law,06/01/2023 0156,06/01/23,1900 Block of University Ave,Closed - Cited
,Enforcement,,,
UM 23-140686,Theft,05/31/2023 1600,06/01/23,21 11th Ave SE,Inactive
UM 23-140986,Theft from Motor Vehicle,05/18/2023 1830,06/01/23,1936 Commonwealth Ave,Inactive
UM 23-141174,Assault,06/01/2023 1600,06/01/23,500 Harvard St SE,THOMAS
UM 23-141344,Flee Officer on Foot,06/01/2023 1834,06/01/23,2001 Bloomington Ave,Closed - Arrest
UM 23-139725,Health Welfare Hold,05/31/2023 1000,05/31/23,Pillsbury Dr SE / Pleasant St SE,Closed
UM 23-139891,Motor Vehicle Accident Damage Report,05/31/2023 1325,05/31/23,3009 Como Ave SE,Closed
UM 23-139967,Bike Theft,05/31/2023 1230,05/31/23,515 Delaware St SE,Inactive
UM 23-140171,Theft from Building,05/31/2023 1700,05/31/23,300 Washington Ave SE,THOMAS
UM 23-140397,MPD Squad Accident,05/25/2023 2300,05/31/23,1219 University Ave SE,Closed
MP 23-137181,Auto Theft,05/28/2023,1700,05/30/23,14th Ave SE & 7th St SE,MPD
UM 23-138928,Auto Theft,05/29/2023 1600,05/30/23,21 11th Ave SE,Inactive
UM 23-138961,Auto Theft,05/30/2023 1100,05/30/23,2115 5th St S,FARRAR
UM 23-139277,Assault / Narcotics Violation / Public Urination /,05/30/2023 2047,05/30/23,1806 Riverside Ave,FARRAR
,Obstruct Legal Proce,,,
UM 23-137345,Flee Police in Motor Vehicle,05/28/2023 2313,05/29/23,4th St SE / 17th Ave SE,Closed
UM 23-137410,Trespass,05/29/2023 0042,05/29/23,80 Church St SE,LAPP
UM 23-137552,Miscellaneous,05/29/2023 0718,05/29/23,615 Washington Ave SE,Closed
UM 23-137645,Bike Theft,05/28/2023 2200,05/29/23,1039 5th St SE,Inactive
UM 23-138188,Possession of Firearm / Narcotics Violation /,05/29/2023 2049,05/29/23,LWR Heating Plant Rd,THOMAS
,Miscellaneous,,,
UM 23-136681,Theft,05/27/2023 2300,05/28/23,1066 27th Ave SE,Inactive
UM 23-137211,Assault,05/25/2023 1400,05/28/23,1100 Como Ave SE,FARRAR
UM 23-134871,Health Welfare Hold / Crisis Intervention,05/26/2023 1659,05/27/23,University Ave SE / Oak St SE,Closed
UM 23-135202,Crisis Intervention / Health Welfare Hold,05/26/2023 2219,05/27/23,1 Washington Ave SE,Closed
UM 23-135258,Driving After Suspension / Fail to Obey Traffic,05/26/2023 2317,05/27/23,University Ave SE / 10th Ave SE,Closed - Cited
,Control,,,
UM 23-135387,Recovered Property,05/27/2023 0145,05/27/23,326 17th Ave SE,Closed
UM 23-135802,Recovered Property,05/27/2023 1450,05/27/23,505 Washington Ave SE,Closed
UM 23-135897,Bike Theft,05/27/2023 0845,05/27/23,420 Delaware St SE,Inactive
UM 23-135981,Trespass,05/27/2023 1759,05/27/23,117 Pleasant St SE,Closed
UM 23-136160,Trespass,05/27/2023 2106,05/27/23,501 Washington Ave SE,Closed
UM 23-136305,Narcotics Violation,05/27/2023 2323,05/27/23,275 Cedar Ave S,FARRAR
MP 23-705446,Damage to Motor Vehicle,05/17/2023,2000,05/26/23,University Ave SE & 10th St SE,MPD
UM 23-134256,Reckless Driving,05/26/2023 0003,05/26/23,4th St SE / 14th Ave SE,Closed - Cited
UM 23-134523,Driving After Revocation/ Traffic Law,05/26/2023 1021,05/26/23,Harvard St SE,Closed - Cited
,Enforcement,,,
UM 23-134560,Illegal Use of Handicap Parking,05/26/2023 1103,05/26/23,515 Delaware St SE,Closed - Cited
UM 23-134971,Fail to Stop / No Valid Driver's License,05/26/2023 1827,05/26/23,6th St SE / 23rd Ave SE,Closed - Cited
UM 23-134981,Missing Person,05/25/2023 1550,05/26/23,Oak St SE / University Ave SE,FARRAR
UM 23-133419,Damage to Property,05/21/2023 2300,05/25/23,1625 4th St SE,CARLSON
UM 23-133473,Trespass,05/25/2023 1015,05/25/23,425 20th Ave S,Closed
UM 23-132486,Domestic Assault,04/17/2023 2130,05/24/23,"Baraboo, WI",HUCK
UM 23-132547,Auto Theft / Motor Vehicle Tampering /,05/24/2023 1323,05/24/23,330 21st Ave S,THOMAS
,Trespass / Warrant,,,
UM 23-132716,Non-Vehicular Accident,05/24/2023 1618,05/24/23,Washington Ave SE / Church St,Closed
,,,SE,
UM 23-132741,Non-Vehicular Accident,05/24/2023 1636,05/24/23,1900 University Ave SE,Closed
UM 23-132792,Warrant,05/24/2023 1723,05/24/23,1 10th Ave SE,Closed - Arrest
UM 23-131377,Miscellaneous,05/22/2023 1257,05/23/23,615 Fulton St SE,HUCK
UM 23-131494,Miscellaneous,05/23/2023 1255,05/23/23,700 Cedar Ave S,Closed
UM 23-131641,Bike Theft,05/23/2023 1400,05/23/23,515 Delaware St SE,Inactive
UM 23-131711,Health Welfare Hold,05/23/2023 1805,05/23/23,200 Oak St SE,Closed
UM 23-131752,Theft from Building,05/23/2023 0930,05/23/23,1445 Gortner Ave,Inactive
UM 23-132053,Theft,05/23/2023 2000,05/23/23,615 Washington Ave SE,CARLSON
MP 23-123686,Indecent Exposure,05/15/2023,2304,05/22/23,2312 6th St S,MPD
MP 23-123896,Hit and Run-No Injury,05/16/2023,1900,05/22/23,University Ave SE & 10th Ave SE,MPD
MP 23-125337,Assault,05/17/2023,1522,05/22/23,525 23rd Ave S,MPD
MP 23-126620,Assault,05/18/2023,1843,05/22/23,2450 Riverside Ave S,MPD
MP 23-127877,Narcotics Violation,05/20/2023,207,05/22/23,14th Ave SE & 4th St SE,MPD
MP 23-128279,Domestic Assault,05/20/2023,1337,05/22/23,2450 Riverside Ave S,MPD
MP 23-129138,Hit and Run-Unattended Vehicle,05/20/2023,1600,05/22/23,Essex St SE & Huron Blvd S,MPD
MP 23-705168,Theft,05/16/2023,1500,05/22/23,2450 Riverside Ave S,MPD
MP 23-705209,Hit and Run-Property Damage,05/17/2023,520,05/22/23,25th Ave SE & 4th St SE,MPD
UM 23-130033,Burglary of Business,05/22/2023 0400,05/22/23,2501 University Ave SE,CARLSON
UM 23-130052,No Parking on Transitway,05/22/2023 0826,05/22/23,University Ave SE / 9th St SE,Closed
UM 23-130060,Bike Theft / Damage to Property,05/22/2023 0900,05/22/23,420 Delaware St SE,THOMAS
UM 23-130361,Driving After Revocation,05/22/2023 1406,05/22/23,15th Ave SE / 5th St SE,Closed - Cited
UM 23-130500,Burglary of Business,05/22/2023 0100,05/22/23,2601 University Ave SE,HUCK
UM 23-130506,Bike Theft,05/22/2023 0745,05/22/23,515 Delaware St SE,Inactive
UM 23-130831,Driving After Revocation,05/22/2023 2110,05/22/23,Walnut St / Washington Ave SE,Closed -Cited
UM 23-130867,Miscellaneous,05/22/2023 2140,05/22/23,Lower Heating Plant Road,Closed
UM 23-128914,Traffic Law Enforcement,05/21/2023 0113,05/21/23,1200 Block 4th St SE,Closed - Cited
UM 23-129624,Recovered Property,05/21/2023 1630,05/21/23,1849 Washington Ave S,Closed
UM 23-129669,No Insurance on Motor Vehicle,05/21/2023 1926,05/21/23,Washington Ave SE / Walnut St,Closed - Cited
,,,SE,
UM 23-129736,Damage to Property,05/18/2023 2133,05/21/23,924 17th Ave SE,CARLSON
UM 23-127474,Theft,05/18/2023 1000,05/20/23,300 Washington Ave SE,THOMAS
UM 23-127813,Trespass,05/20/2023 0025,05/20/23,505 Washington Ave SE,Closed
UM 23-127830,False Drivers License / Consupmption of,05/20/2023 0053,05/20/23,10 Church St SE,Closed - Cited
,Liquor by Minors,,,
UM 23-128019,Trespass,05/20/2023 0735,05/20/23,615 Washington Ave SE,Closed
UM 23-128064,Theft of Motor Vehicle Parts,05/19/2023 1507,05/20/23,901 17th Ave SE,CARLSON
UM 23-128464,Miscellaneous,05/20/2023 1724,05/20/23,220 Delaware St SE,Closed
UM 23-128592,Health Welfare Hold,05/20/2023 1932,05/20/23,600 Malcolm Ave SE,Closed
UM 23-128668,Recovered Property,05/20/2023 2000,05/20/23,501 23rd Ave SE,Closed
UM 23-126906,Trespass,05/19/2023 0212,05/19/23,80 Church St SE,CARLSON
UM 23-126930,Miscellaneous,05/18/2023 1600,05/19/23,505 Washington Ave SE,HUCK
UM 23-127078,Bike Theft,05/19/2023 0915,05/19/23,515 Delaware St SE,THOMAS
UM 23-127389,Aggravated Robbery of Person,05/19/2023 1604,05/19/23,925 Wahington Ave SE,CARLSON
UM 23-127648,Trespass / Warrant,05/19/2023 2111,05/19/23,401 Oak St SE,Closed- Arrest
MP 23-126465,Narcotics Violation,05/18/2023,1716,05/18/23,14th Ave SE & University Ave SE,MPD
UM 23-125733,False Info / Warrant,05/17/2023 2150,05/18/23,Lower Heating Plant RD,FARRAR
UM 23-126007,Theft from Motor Vehicle,05/17/2023 0830,05/18/23,401 Oak St SE,Inactive
UM 23-126418,Driving After Suspension,05/18/2023 1623,05/18/23,Washington Ave SE / Harvard St,Closed - Cited
,,,SE,
UM 23-126645,Driving After Revocation,05/18/2023 2018,05/18/23,924 17th Ave SE,CARLSON
UM 23-126679,Indecent Exposure,05/18/2023 2046,05/18/23,123 Harvard St SE,Unfounded
UM 23-124928,Damage to Motor Vehicle,05/10/2023 0800,05/17/23,901 29th Ave SE,Inactive
UM 23-125082,Warrant,05/17/2023 1048,05/17/23,1808 Franklin Ave E,Closed - Arrest
UM 23-125485,Driving After Revocation,05/17/2023 1730,05/17/23,1100 4th St SE,Closed - Cited
UM 23-125596,Trespass,05/17/2023 1913,05/17/23,326 17th Ave SE,Closed
MP 23-120711,Robbery,05/13/2023,250,05/16/23,14th Ave SE & University Ave SE,MPD
UM 23-123917,Hit/Run Property Damage,05/15/2023 1000,05/16/23,80 Church St SE,CARLSON
UM 23-124123,Miscellaneous,05/16/2023 1258,05/16/23,551 Washington Ave SE,Closed
UM 23-124372,Motor Vehicle Accident Damage Report,05/16/2023 1714,05/16/23,Washington ave SE / Church St,Closed
,,,SE,
UM 23-124447,Narcotics Violation,05/16/2023 1813,05/16/23,275 Cedar Ave S,FARRAR
UM 23-124689,Warrant / Recovered Property,05/16/2023 2219,05/16/23,551 Washington Ave SE,Closed - Arrest
UM 23-124690,Flee Police in Motor Vehicle,05/16/2023 2220,05/16/23,1800 Washington Ave SE,Inactive
UM 23-124751,Health Welfare Hold,05/16/2023 2338,05/16/23,210 Delaware St SE,Closed
UM 23-122531,Assault,05/14/2023 2059,05/15/23,275 Cedar Ave S,CARLSON
UM 23-122614,No Valid Drivers License,05/14/2023 2233,05/15/23,University Ave SE / Oak St SE,Closed - Cited
UM 23-122916,Burglary of Business,05/12/2023 1500,05/15/23,2106 4th St S,FARRAR
UM 23-122939,Trespass / Recovered Property,05/11/2023 1630,05/15/23,921 17th Ave SE,Closed
UM 23-123236,Bike Theft,05/15/2023 0800,05/15/23,115 Union St SE,Inactive
UM 23-123381,Crisis Intervention,05/15/2023 1709,05/15/23,220 Delaware St SE,Closed
UM 23-123398,Auto Theft,05/15/2023 0830,05/15/23,420 25th Ave SE,Inactive
UM 23-123405,Auto Theft,05/15/2023 1651,05/15/23,2001 Bloomington Ave,HUCK
UM 23-123428,Crisis Intervention,05/15/2023 1752,05/15/23,200 Oak St SE,Closed
UM 23-121730,Careless Driving,05/14/2023 0027,05/14/23,300 Washington Ave SE,THOMAS
UM 23-122084,Trespass,05/14/2023 1221,05/14/23,117 Pleasant St SE,Closed - Cited
UM 23-122088,Crisis Intervention / Health Welfare Hold,05/14/2023 0800,05/14/23,1 Washington Ave SE,Closed
UM 23-122283,Recover Property,05/14/2023 1654,05/14/23,1625 4th St SE,Closed
UM 23-120420,False Info / Driving After Revocation,05/12/2023 2152,05/13/23,Oak St SE / Beacon St SE,Closed - Arrest
UM 23-120598,Driving After Revocation / Traffic Law,05/13/2023 0027,05/13/23,Oak St SE / University Ave SE,Closed - Cited
,Enforcement,,,
UM 23-120704,Driving After Revocation,05/13/2023 0241,05/13/23,University Ave SE / Interstate 35W,Closed - Cited
,,,SB,
UM 23-120884,Bike Theft,05/12/2023 2200,05/13/23,1028 27th Ave SE,Inactive
UM 23-120944,Driving After Cancellation,05/13/2023 11001,05/13/23,University Ave SE / 10th Ave SE,Closed - Cited
UM 23-121411,Disorderly Conduct / False Name / Recovered,05/13/2023 1929,05/13/23,13th Ave SE / 5th St SE,Closed - Arrest
,Property,,,
UM 23-121595,False DL / Consumption of Alcohol by Minor,05/13/2023 2219,05/13/23,304 Oak St SE,Closed - Cited
UM 23-119330,Driving After Suspension,05/11/2023 2203,05/12/23,University Ave SE / 11th Ave SE,Closed - Cited
UM 23-119843,Non- Vehicular Accident,05/12/2023 1230,05/12/23,Oak St SE / Delaware St SE,Closed
UM 23-120021,Theft from Motor Vehicle,05/12/2023 0800,05/12/23,2002 2nd St S,Inactive
UM 23-120033,Theft from Motor Vehicle,05/05/2023 0930,05/12/23,385 E River Pkwy,Inactive
UM 23-120178,Miscellaneous,05/12/2023 1440,05/12/23,615 Washington Ave SE,Closed
UM 23-120281,Motor Vehicle Accident Injury Report,05/12/2023 1930,05/12/23,Como Ave / Intercampus Transit,Closed
UM 23-118644,Recovered Stolen Property / Trespass,05/11/2023 0940,05/11/23,1300 2nd St S,FARRAR
